Task 4 validation-only: teacher=resnet34_cifar10_fp32_best.pth SHA256=ed19ff5fa087…

=== task4_tlambda_stage1_t4_l0p1_retry1 seed 42 | T=4, lambda=0.1 | 6 epochs ===

T4 S42 1/6:   0%|          | 0/352 [00:00<?, ?it/s]
T4 S42 1/6:   0%|          | 1/352 [00:08<50:13,  8.58s/it]
T4 S42 1/6:  64%|██████▍   | 225/352 [00:16<00:04, 27.29it/s]
T4 S42 1/6:  65%|██████▍   | 228/352 [00:17<00:04, 27.36it/s]
T4 S42 1/6:  66%|██████▌   | 231/352 [00:17<00:04, 27.65it/s]
T4 S42 1/6:  66%|██████▋   | 234/352 [00:17<00:04, 27.82it/s]
T4 S42 1/6:  67%|██████▋   | 237/352 [00:17<00:04, 27.97it/s]
T4 S42 1/6:  68%|██████▊   | 240/352 [00:17<00:03, 28.12it/s]
T4 S42 1/6:  69%|██████▉   | 243/352 [00:17<00:03, 28.19it/s]
T4 S42 1/6:  70%|██████▉   | 246/352 [00:17<00:03, 28.25it/s]
T4 S42 1/6:  71%|███████   | 249/352 [00:17<00:03, 28.36it/s]
T4 S42 1/6:  72%|███████▏  | 252/352 [00:17<00:03, 28.37it/s]
T4 S42 1/6:  72%|███████▏  | 255/352 [00:17<00:03, 28.37it/s]
T4 S42 1/6:  73%|███████▎  | 258/352 [00:18<00:03, 28.35it/s]
T4 S42 1/6:  74%|███████▍  | 261/352 [00:18<00:03, 28.32it/s]
T4 S42 1/6:  75%|███████▌  | 264/352 [00:18<00:03, 28.50it/s]
T4 S42 1/6:  76%|███████▌  | 267/352 [00:18<00:02, 28.64it/s]
T4 S42 1/6:  77%|███████▋  | 270/352 [00:18<00:02, 28.92it/s]
T4 S42 1/6:  78%|███████▊  | 273/352 [00:18<00:02, 29.11it/s]
T4 S42 1/6:  78%|███████▊  | 276/352 [00:18<00:02, 29.22it/s]
T4 S42 1/6:  79%|███████▉  | 279/352 [00:18<00:02, 29.11it/s]
T4 S42 1/6:  80%|████████  | 282/352 [00:18<00:02, 28.98it/s]
T4 S42 1/6:  81%|████████  | 285/352 [00:19<00:02, 28.91it/s]
T4 S42 1/6:  82%|████████▏ | 288/352 [00:19<00:02, 28.85it/s]
T4 S42 1/6:  83%|████████▎ | 291/352 [00:19<00:02, 28.82it/s]
T4 S42 1/6:  84%|████████▎ | 294/352 [00:19<00:02, 28.90it/s]
T4 S42 1/6:  84%|████████▍ | 297/352 [00:19<00:01, 29.18it/s]
T4 S42 1/6:  85%|████████▌ | 300/352 [00:19<00:01, 29.11it/s]
T4 S42 1/6:  86%|████████▌ | 303/352 [00:19<00:01, 28.92it/s]
T4 S42 1/6:  87%|████████▋ | 306/352 [00:19<00:01, 28.80it/s]
T4 S42 1/6:  88%|████████▊ | 309/352 [00:19<00:01, 28.73it/s]
T4 S42 1/6:  89%|████████▉ | 313/352 [00:19<00:01, 29.18it/s]
T4 S42 1/6:  90%|████████▉ | 316/352 [00:20<00:01, 29.39it/s]
T4 S42 1/6:  91%|█████████ | 319/352 [00:20<00:01, 29.52it/s]
T4 S42 1/6:  92%|█████████▏| 323/352 [00:20<00:00, 29.72it/s]
T4 S42 1/6:  93%|█████████▎| 326/352 [00:20<00:00, 29.74it/s]
T4 S42 1/6:  93%|█████████▎| 329/352 [00:20<00:00, 29.69it/s]
T4 S42 1/6:  94%|█████████▍| 332/352 [00:20<00:00, 29.59it/s]
T4 S42 1/6:  95%|█████████▌| 336/352 [00:20<00:00, 29.77it/s]
T4 S42 1/6:  96%|█████████▋| 339/352 [00:20<00:00, 29.72it/s]
T4 S42 1/6:  97%|█████████▋| 342/352 [00:20<00:00, 29.24it/s]
T4 S42 1/6:  98%|█████████▊| 345/352 [00:21<00:00, 29.06it/s]
T4 S42 1/6:  99%|█████████▉| 348/352 [00:21<00:00, 28.95it/s]
T4 S42 1/6: 100%|█████████▉| 351/352 [00:21<00:00, 28.81it/s]
                                                             
S42 E  1/6 total=0.5271 CE=0.5751 KD=0.0950 val=89.14% lr=0.020000 <-- best

T4 S42 2/6:   0%|          | 0/352 [00:00<?, ?it/s]
T4 S42 2/6:   0%|          | 1/352 [00:00<00:36,  9.64it/s]
T4 S42 2/6:   1%|          | 4/352 [00:00<00:18, 18.69it/s]
T4 S42 2/6:   2%|▏         | 7/352 [00:00<00:14, 23.22it/s]
T4 S42 2/6:   3%|▎         | 10/352 [00:00<00:13, 25.74it/s]
T4 S42 2/6:   4%|▍         | 14/352 [00:00<00:12, 27.56it/s]
T4 S42 2/6:   5%|▌         | 18/352 [00:00<00:11, 28.52it/s]
T4 S42 2/6:   6%|▌         | 21/352 [00:00<00:11, 28.88it/s]
T4 S42 2/6:   7%|▋         | 25/352 [00:00<00:11, 29.31it/s]
T4 S42 2/6:   8%|▊         | 28/352 [00:01<00:11, 29.45it/s]
T4 S42 2/6:   9%|▉         | 31/352 [00:01<00:10, 29.57it/s]
T4 S42 2/6:  10%|▉         | 35/352 [00:01<00:10, 29.67it/s]
T4 S42 2/6:  11%|█         | 39/352 [00:01<00:10, 29.79it/s]
T4 S42 2/6:  12%|█▏        | 43/352 [00:01<00:10, 29.89it/s]
T4 S42 2/6:  13%|█▎        | 47/352 [00:01<00:10, 29.95it/s]
T4 S42 2/6:  14%|█▍        | 50/352 [00:01<00:10, 29.91it/s]
T4 S42 2/6:  15%|█▌        | 54/352 [00:01<00:09, 29.97it/s]
T4 S42 2/6:  16%|█▋        | 58/352 [00:02<00:09, 30.01it/s]
T4 S42 2/6:  18%|█▊        | 62/352 [00:02<00:09, 30.01it/s]
T4 S42 2/6:  18%|█▊        | 65/352 [00:02<00:09, 29.94it/s]
T4 S42 2/6:  20%|█▉        | 69/352 [00:02<00:09, 29.98it/s]
T4 S42 2/6:  20%|██        | 72/352 [00:02<00:09, 29.97it/s]
T4 S42 2/6:  22%|██▏       | 76/352 [00:02<00:09, 30.03it/s]
T4 S42 2/6:  23%|██▎       | 80/352 [00:02<00:09, 29.97it/s]
T4 S42 2/6:  24%|██▎       | 83/352 [00:02<00:09, 29.71it/s]
T4 S42 2/6:  24%|██▍       | 86/352 [00:02<00:08, 29.72it/s]
T4 S42 2/6:  26%|██▌       | 90/352 [00:03<00:08, 29.86it/s]
