method,validation_mean,validation_std,validation_best,best_seed,test_evaluation,status
T2_FP32,0.9533999999999999,0.0014000000000000123,0.9548,43,not_run,completed artifact
T3_ternary_noKD,0.9520666666666666,0.0008082903768654466,0.9528,44,not_run,completed artifact
T4_vanillaKD,0.9512,0.0015099668870541527,0.9526,44,not_run,completed artifact
DKD,0.9488,0.0015999999999999903,0.9504,42,not_run,completed artifact
DIST_screen,0.9494,0.0,0.9494,42,not_run,completed artifact
DIST_continuation,0.9502,0.0,0.9502,42,not_run,provisional one-seed artifact
