Task 4 validation-only: teacher=resnet34_cifar10_fp32_best.pth SHA256=ed19ff5fa087…

=== task4_tlambda_integrity-control_t4_l0 seed 42 | T=4, lambda=0 | 30 epochs ===

T4 S42 1/30:   0%|          | 0/352 [00:00<?, ?it/s]
T4 S42 1/30:   0%|          | 1/352 [00:01<08:24,  1.44s/it]
T4 S42 1/30:  64%|██████▍   | 226/352 [00:10<00:04, 28.25it/s]
T4 S42 1/30:  65%|██████▌   | 229/352 [00:10<00:04, 28.35it/s]
T4 S42 1/30:  66%|██████▌   | 232/352 [00:10<00:04, 28.35it/s]
T4 S42 1/30:  67%|██████▋   | 235/352 [00:10<00:04, 28.30it/s]
T4 S42 1/30:  68%|██████▊   | 238/352 [00:10<00:04, 28.30it/s]
T4 S42 1/30:  68%|██████▊   | 241/352 [00:10<00:03, 28.30it/s]
T4 S42 1/30:  69%|██████▉   | 244/352 [00:11<00:03, 28.25it/s]
T4 S42 1/30:  70%|███████   | 247/352 [00:11<00:03, 28.24it/s]
T4 S42 1/30:  71%|███████   | 250/352 [00:11<00:03, 28.25it/s]
T4 S42 1/30:  72%|███████▏  | 253/352 [00:11<00:03, 28.24it/s]
T4 S42 1/30:  73%|███████▎  | 256/352 [00:11<00:03, 28.26it/s]
T4 S42 1/30:  74%|███████▎  | 259/352 [00:11<00:03, 28.25it/s]
T4 S42 1/30:  74%|███████▍  | 262/352 [00:11<00:03, 28.23it/s]
T4 S42 1/30:  75%|███████▌  | 265/352 [00:11<00:03, 28.27it/s]
T4 S42 1/30:  76%|███████▌  | 268/352 [00:11<00:02, 28.24it/s]
T4 S42 1/30:  77%|███████▋  | 271/352 [00:12<00:02, 28.22it/s]
T4 S42 1/30:  78%|███████▊  | 274/352 [00:12<00:02, 28.28it/s]
T4 S42 1/30:  79%|███████▊  | 277/352 [00:12<00:02, 28.28it/s]
T4 S42 1/30:  80%|███████▉  | 280/352 [00:12<00:02, 28.27it/s]
T4 S42 1/30:  80%|████████  | 283/352 [00:12<00:02, 28.25it/s]
T4 S42 1/30:  81%|████████▏ | 286/352 [00:12<00:02, 28.29it/s]
T4 S42 1/30:  82%|████████▏ | 289/352 [00:12<00:02, 28.34it/s]
T4 S42 1/30:  83%|████████▎ | 292/352 [00:12<00:02, 28.33it/s]
T4 S42 1/30:  84%|████████▍ | 295/352 [00:12<00:02, 28.33it/s]
T4 S42 1/30:  85%|████████▍ | 298/352 [00:12<00:01, 28.29it/s]
T4 S42 1/30:  86%|████████▌ | 301/352 [00:13<00:01, 28.24it/s]
T4 S42 1/30:  86%|████████▋ | 304/352 [00:13<00:01, 28.20it/s]
T4 S42 1/30:  87%|████████▋ | 307/352 [00:13<00:01, 28.01it/s]
T4 S42 1/30:  88%|████████▊ | 310/352 [00:13<00:01, 27.95it/s]
T4 S42 1/30:  89%|████████▉ | 313/352 [00:13<00:01, 27.97it/s]
T4 S42 1/30:  90%|████████▉ | 316/352 [00:13<00:01, 28.02it/s]
T4 S42 1/30:  91%|█████████ | 319/352 [00:13<00:01, 28.07it/s]
T4 S42 1/30:  91%|█████████▏| 322/352 [00:13<00:01, 28.19it/s]
T4 S42 1/30:  92%|█████████▏| 325/352 [00:13<00:00, 28.08it/s]
T4 S42 1/30:  93%|█████████▎| 328/352 [00:14<00:00, 28.19it/s]
T4 S42 1/30:  94%|█████████▍| 331/352 [00:14<00:00, 28.22it/s]
T4 S42 1/30:  95%|█████████▍| 334/352 [00:14<00:00, 28.17it/s]
T4 S42 1/30:  96%|█████████▌| 337/352 [00:14<00:00, 28.20it/s]
T4 S42 1/30:  97%|█████████▋| 340/352 [00:14<00:00, 28.25it/s]
T4 S42 1/30:  97%|█████████▋| 343/352 [00:14<00:00, 28.24it/s]
T4 S42 1/30:  98%|█████████▊| 346/352 [00:14<00:00, 28.20it/s]
T4 S42 1/30:  99%|█████████▉| 349/352 [00:14<00:00, 28.24it/s]
T4 S42 1/30: 100%|██████████| 352/352 [00:15<00:00, 11.62it/s]
                                                              
S42 E  1/30 total=0.5766 CE=0.5766 KD=0.0984 val=91.08% lr=0.020000 <-- best

T4 S42 2/30:   0%|          | 0/352 [00:00<?, ?it/s]
T4 S42 2/30:   1%|          | 2/352 [00:00<00:21, 16.54it/s]
T4 S42 2/30:   1%|▏         | 5/352 [00:00<00:17, 20.09it/s]
T4 S42 2/30:   2%|▏         | 7/352 [00:00<00:17, 19.94it/s]
T4 S42 2/30:   3%|▎         | 10/352 [00:00<00:16, 20.84it/s]
T4 S42 2/30:   4%|▎         | 13/352 [00:00<00:16, 20.94it/s]
T4 S42 2/30:   5%|▍         | 16/352 [00:00<00:15, 21.12it/s]
T4 S42 2/30:   5%|▌         | 19/352 [00:00<00:15, 21.32it/s]
T4 S42 2/30:   6%|▋         | 22/352 [00:01<00:15, 21.39it/s]
T4 S42 2/30:   7%|▋         | 25/352 [00:01<00:15, 21.47it/s]
T4 S42 2/30:   8%|▊         | 28/352 [00:01<00:14, 21.81it/s]
T4 S42 2/30:   9%|▉         | 31/352 [00:01<00:15, 20.73it/s]
T4 S42 2/30:  10%|▉         | 34/352 [00:01<00:15, 20.79it/s]
T4 S42 2/30:  11%|█         | 37/352 [00:01<00:14, 21.05it/s]
T4 S42 2/30:  11%|█▏        | 40/352 [00:01<00:14, 21.47it/s]
T4 S42 2/30:  12%|█▏        | 43/352 [00:02<00:14, 21.45it/s]
T4 S42 2/30:  13%|█▎        | 46/352 [00:02<00:14, 21.32it/s]
T4 S42 2/30:  14%|█▍        | 49/352 [00:02<00:14, 21.39it/s]
T4 S42 2/30:  15%|█▍        | 52/352 [00:02<00:13, 21.45it/s]
T4 S42 2/30:  16%|█▌        | 55/352 [00:02<00:14, 20.63it/s]
T4 S42 2/30:  16%|█▋        | 58/352 [00:02<00:13, 21.28it/s]
T4 S42 2/30:  17%|█▋        | 61/352 [00:02<00:13, 21.42it/s]
T4 S42 2/30:  18%|█▊        | 64/352 [00:03<00:13, 21.46it/s]
T4 S42 2/30:  19%|█▉        | 67/352 [00:03<00:12, 21.97it/s]
T4 S42 2/30:  20%|█▉        | 70/352 [00:03<00:12, 21.87it/s]
T4 S42 2/30:  21%|██        | 73/352 [00:03<00:12, 21.90it/s]
T4 S42 2/30:  22%|██▏       | 76/352 [00:03<00:12, 21.79it/s]
T4 S42 2/30:  22%|██▏       | 79/352 [00:03<00:12, 21.76it/s]
T4 S42 2/30:  23%|██▎       | 82/352 [00:03<00:12, 21.76it/s]
T4 S42 2/30:  24%|██▍       | 85/352 [00:03<00:12, 21.75it/s]
T4 S42 2/30:  25%|██▌       | 88/352 [00:04<00:12, 21.59it/s]
T4 S42 2/30:  26%|██▌       | 91/352 [00:04<00:12, 21.44it/s]
T4 S42 2/30:  27%|██▋       | 94/352 [00:04<00:12, 21.47it/s]
T4 S42 2/30:  28%|██▊       | 97/352 [00:04<00:11, 21.30it/s]
T4 S42 2/30:  28%|██▊       | 100/352 [00:04<00:11, 21.55it/s]
T4 S42 2/30:  29%|██▉       | 103/352 [00:04<00:11, 22.57it/s]
T4 S42 2/30:  30%|███       | 106/352 [00:04<00:10, 24.10it/s]
T4 S42 2/30:  31%|███       | 109/352 [00:05<00:09, 25.24it/s]
T4 S42 2/30:  32%|███▏      | 112/352 [00:05<00:09, 26.06it/s]
T4 S42 2/30:  33%|███▎      | 115/352 [00:05<00:08, 26.76it/s]
T4 S42 2/30:  34%|███▎      | 118/352 [00:05<00:08, 27.24it/s]
T4 S42 2/30:  34%|███▍      | 121/352 [00:05<00:08, 27.55it/s]
T4 S42 2/30:  35%|███▌      | 124/352 [00:05<00:08, 27.86it/s]
T4 S42 2/30:  36%|███▌      | 127/352 [00:05<00:08, 28.02it/s]
T4 S42 2/30:  37%|███▋      | 130/352 [00:05<00:07, 28.11it/s]
T4 S42 2/30:  38%|███▊      | 133/352 [00:05<00:07, 28.25it/s]
T4 S42 2/30:  39%|███▊      | 136/352 [00:05<00:07, 28.28it/s]
T4 S42 2/30:  39%|███▉      | 139/352 [00:06<00:07, 28.25it/s]
T4 S42 2/30:  40%|████      | 142/352 [00:06<00:07, 28.32it/s]
T4 S42 2/30:  41%|████      | 145/352 [00:06<00:07, 28.27it/s]
T4 S42 2/30:  42%|████▏     | 148/352 [00:06<00:07, 28.29it/s]
T4 S42 2/30:  43%|████▎     | 151/352 [00:06<00:07, 28.34it/s]
T4 S42 2/30:  44%|████▍     | 154/352 [00:06<00:06, 28.38it/s]
T4 S42 2/30:  45%|████▍     | 157/352 [00:06<00:06, 28.34it/s]
T4 S42 2/30:  45%|████▌     | 160/352 [00:06<00:06, 28.30it/s]
T4 S42 2/30:  46%|████▋     | 163/352 [00:06<00:06, 28.29it/s]
T4 S42 2/30:  47%|████▋     | 166/352 [00:07<00:06, 28.35it/s]
T4 S42 2/30:  48%|████▊     | 169/352 [00:07<00:06, 28.33it/s]
T4 S42 2/30:  49%|████▉     | 172/352 [00:07<00:06, 28.32it/s]
T4 S42 2/30:  50%|████▉     | 175/352 [00:07<00:06, 28.36it/s]
T4 S42 2/30:  51%|█████     | 178/352 [00:07<00:06, 28.29it/s]
T4 S42 2/30:  51%|█████▏    | 181/352 [00:07<00:06, 28.32it/s]
T4 S42 2/30:  52%|█████▏    | 184/352 [00:07<00:05, 28.36it/s]
T4 S42 2/30:  53%|█████▎    | 187/352 [00:07<00:05, 28.36it/s]
T4 S42 2/30:  54%|█████▍    | 190/352 [00:07<00:05, 28.36it/s]
T4 S42 2/30:  55%|█████▍    | 193/352 [00:07<00:05, 28.32it/s]
T4 S42 2/30:  56%|█████▌    | 196/352 [00:08<00:05, 28.31it/s]
T4 S42 2/30:  57%|█████▋    | 199/352 [00:08<00:05, 28.28it/s]
T4 S42 2/30:  57%|█████▋    | 202/352 [00:08<00:05, 28.25it/s]
T4 S42 2/30:  58%|█████▊    | 205/352 [00:08<00:05, 28.25it/s]
T4 S42 2/30:  59%|█████▉    | 208/352 [00:08<00:05, 28.37it/s]
T4 S42 2/30:  60%|█████▉    | 211/352 [00:08<00:04, 28.34it/s]
T4 S42 2/30:  61%|██████    | 214/352 [00:08<00:04, 28.35it/s]
T4 S42 2/30:  62%|██████▏   | 217/352 [00:08<00:04, 28.35it/s]
T4 S42 2/30:  62%|██████▎   | 220/352 [00:08<00:04, 28.38it/s]
T4 S42 2/30:  63%|██████▎   | 223/352 [00:09<00:04, 28.35it/s]
T4 S42 2/30:  64%|██████▍   | 226/352 [00:09<00:04, 27.30it/s]
T4 S42 2/30:  65%|██████▌   | 229/352 [00:09<00:04, 25.41it/s]
T4 S42 2/30:  66%|██████▌   | 232/352 [00:09<00:04, 24.20it/s]
T4 S42 2/30:  67%|██████▋   | 235/352 [00:09<00:04, 23.57it/s]
T4 S42 2/30:  68%|██████▊   | 238/352 [00:09<00:04, 23.58it/s]
T4 S42 2/30:  68%|██████▊   | 241/352 [00:09<00:04, 24.07it/s]
T4 S42 2/30:  69%|██████▉   | 244/352 [00:09<00:04, 23.58it/s]
